Player,Pos,Conf_Major,NCAA_AdjTempo,NCAA_AdjOE,NCAA_AdjDE,NCAA_TeamID,NCAA_Year,NCAA_GP,NCAA_GS,NCAA_MIN_PG,NCAA_FGpct_PG,NCAA_3PM_PG,NCAA_3Ppct_PG,NCAA_FTM_PG,NCAA_FTpct_PG,NCAA_OFF_PG,NCAA_DEF_PG,NCAA_AST_PG,NCAA_STL_PG,NCAA_BLK_PG,NCAA_PF_PG,NCAA_TOV_PG,NCAA_PTS_PG,NCAA_DblDbl,NCAA_TplDbl,NCAA_HOB,NCAA_Ast_TO,NCAA_Stl_TO,NCAA_FT_FGA,NCAA_W,NCAA_L,NCAA_Winpct,NCAA_OWS,NCAA_DWS,NCAA_WS,NCAA_TSpct,NCAA_eFGpct,NCAA_USGpct,NCAA_TotalSpct,NCAA_PPR,NCAA_PPS,NCAA_ORtg,NCAA_DRtg,NCAA_PER,Height,Weight,Wingspan,NCAASeasons,AgeAtDraft,HighestLevelReached,NBA_OWS,NBA_DWS,NBA_WS,NBA_PER
Isaac-Haas,3,1,67.85,116.93,93.08,105,2016,35,15,14.3,0.594,0,0,2.57,0.714,1.17,2.51,0.46,0.11,0.77,1.66,1.11,9.77,2,0,0.148,0.41,0.1,0.59,26,9,0.743,1.96,1.09,3.04,0.629,0.594,31.31,130.86,5.8,1.61,119.5,93.8,27.61,86,290,88,4,22.66392882,Prospect,NA,NA,NA,NA
Melvin-Frazier,2,2,69.01,106.92,106.88,304,2018,30,30,34.4,0.556,1.17,0.385,2.8,0.712,1.17,4.43,2.87,2.1,0.73,2,2.57,15.9,5,0,0.346,1.12,0.82,0.37,14,16,0.467,2.48,1.59,4.07,0.631,0.61,22.2,165.24,1.91,1.48,114.3,100.7,20.97,78,200,86.5,3,21.7522245,Prospect,NA,NA,NA,NA
Kyle-Alexander,3,1,66.01,114.65,92.38,263,2018,34,34,20.3,0.681,0.03,1,1.09,0.712,2.5,3.06,0.32,0.56,1.68,2.44,0.74,5.65,2,0,0.102,0.44,0.76,0.46,26,8,0.765,1.79,1.57,3.36,0.697,0.686,11.93,239.3,2.66,1.7,134.8,93.1,19.71,83,220,89.5,3,21.60985626,Prospect,NA,NA,NA,NA
John-Petty,2,1,68.71,108.65,95.24,253,2018,36,29,28.5,0.393,2.5,0.372,0.89,0.711,0.39,2.17,1.81,0.47,0.25,1,2.06,10.22,0,0,0.207,0.88,0.23,0.14,20,16,0.556,0.85,1.01,1.86,0.55,0.537,19.83,147.6,2.97,1.18,100.2,106.5,10.7,77,193,81,1,19.49623546,Prospect,NA,NA,NA,NA
Kyle-Washington,3,2,63.55,114.95,92.76,63,2017,36,35,24.7,0.51,0.42,0.357,2.25,0.711,2.17,4.58,0.86,0.36,1.17,2.53,1.47,12.89,7,0,0.222,0.58,0.25,0.32,30,6,0.833,2.53,2.05,4.58,0.559,0.53,27.23,157.74,3.9,1.29,113.8,92.3,23,81,230,85,4,24.78576318,Prospect,NA,NA,NA,NA
Donte-DiVincenzo,1,1,68.72,127.76,94,76,2018,40,10,29.3,0.481,2.12,0.401,1.9,0.71,1.15,3.6,3.48,1.05,0.2,2.08,1.98,13.43,1,0,0.268,1.76,0.53,0.27,36,4,0.9,3.82,1.84,5.67,0.608,0.59,22.4,159.2,1.17,1.37,121.5,100.4,19.89,77,205,77,3,21.33059548,Prospect,NA,NA,NA,NA
Jo-Acuil,3,1,66.69,111.49,95.46,51,2018,33,33,31,0.514,0.18,0.286,2.48,0.707,2.82,5.82,0.79,0.55,1.94,2.82,2.06,14,13,0,0.231,0.38,0.26,0.32,19,14,0.576,2.07,1.95,4.02,0.551,0.522,23.54,150.63,5.04,1.27,109.9,96.9,19.82,84,225,88,3,24.09856263,Prospect,NA,NA,NA,NA
Josh-Reaves,1,1,67.32,114.3,95.11,104,2018,34,32,30.8,0.487,1.18,0.377,1.56,0.707,1.74,3.35,3.15,2.18,0.5,3.09,1.41,10.56,2,0,0.26,2.23,1.54,0.27,24,10,0.706,2.79,2.32,5.11,0.582,0.56,17.19,157.12,2.29,1.32,122.5,93.7,19.47,76,210,79,3,20.99110198,Prospect,NA,NA,NA,NA
DeAnthony-Melton,1,1,68.75,114.15,100.7,242,2017,36,25,27,0.437,0.58,0.284,2.14,0.706,1.39,3.33,3.47,1.92,1.03,2.25,1.78,8.33,0,0,0.232,1.95,1.08,0.47,26,10,0.722,1.75,1.6,3.36,0.53,0.483,17.72,142.74,1.98,1.3,110.8,99.2,18.02,76,180,80,2,20.0109514,Prospect,NA,NA,NA,NA
Elijah-Stewart,1,1,68.75,114.15,100.7,242,2017,36,32,29.8,0.431,2.17,0.386,1.58,0.704,1.25,2.67,1.19,0.81,1.17,2.61,1.03,12.31,1,0,0.202,1.16,0.78,0.23,26,10,0.722,2.39,1.03,3.42,0.56,0.541,20.02,152.12,0.77,1.24,116.1,106.4,16.29,77,195,81,4,22.54620123,Prospect,NA,NA,NA,NA
