Player,Pos,Conf_Major,NCAA_AdjTempo,NCAA_AdjOE,NCAA_AdjDE,NCAA_TeamID,NCAA_Year,NCAA_GP,NCAA_GS,NCAA_MIN_PG,NCAA_FGpct_PG,NCAA_3PM_PG,NCAA_3Ppct_PG,NCAA_FTM_PG,NCAA_FTpct_PG,NCAA_OFF_PG,NCAA_DEF_PG,NCAA_AST_PG,NCAA_STL_PG,NCAA_BLK_PG,NCAA_PF_PG,NCAA_TOV_PG,NCAA_PTS_PG,NCAA_DblDbl,NCAA_TplDbl,NCAA_HOB,NCAA_Ast_TO,NCAA_Stl_TO,NCAA_FT_FGA,NCAA_W,NCAA_L,NCAA_Winpct,NCAA_OWS,NCAA_DWS,NCAA_WS,NCAA_TSpct,NCAA_eFGpct,NCAA_USGpct,NCAA_TotalSpct,NCAA_PPR,NCAA_PPS,NCAA_ORtg,NCAA_DRtg,NCAA_PER,Height,Weight,Wingspan,NCAASeasons,AgeAtDraft,HighestLevelReached,NBA_OWS,NBA_DWS,NBA_WS,NBA_PER
Brandon-Knight,1,1,65.02,117.83,92.01,258,2011,38,38,35.9,0.423,2.29,0.377,3.58,0.795,0.66,3.37,4.18,0.66,0.21,2.18,3.16,17.29,0,0,0.375,1.32,0.21,0.33,29,9,0.763,3.51,2.11,5.62,0.553,0.508,26.99,159.49,1.03,1.28,109.5,100,17.96,75,195,78.75,1,19.49623546,NBA,4.16,4.61,8.76,35.44
AJ-English-III,1,2,71.9,110.52,103.39,166,2016,28,28,35.9,0.433,3.36,0.37,5.64,0.836,0.54,4.5,6.21,1.57,0.5,2.14,3.61,22.57,4,0,0.463,1.72,0.44,0.43,20,8,0.714,3.87,1.41,5.28,0.598,0.54,29.94,163.89,1.42,1.44,117.9,101.8,24.17,76,190,82,4,23.89322382,International,0,0,0,0
AJ-Abrams,1,1,63.91,120.59,95.5,60,2008,37,37,35.9,0.424,3.19,0.382,1.49,0.809,0.49,2.41,1.49,1.59,0.05,1.86,0.84,16.51,0,0,0.271,1.77,1.9,0.13,30,7,0.811,4.5,1.74,6.23,0.557,0.539,22.24,161.51,0.45,1.18,124.2,102.1,19.56,71,160,74,4,22.6255989,International,0,0,0,0
Dan-Oppland,2,2,65.54,104.63,107.58,152,2005,30,30,35.9,0.517,1.1,0.429,3.97,0.778,2.63,4.3,1.17,0.67,0.33,2.93,1.77,18.53,6,0,0.324,0.66,0.38,0.39,14,16,0.467,3.82,0.5,3.33,0.6,0.559,24.7,172.3,3.25,1.42,121.6,123.7,24.75,80,225,80,4,22.39835729,International,0,0,0,0
Dontaye-Draper,1,2,65.43,103.84,99.65,266,2007,33,33,35.9,0.405,2.76,0.384,3.42,0.739,0.58,3.52,5.33,1.73,0.33,2.21,3.36,16.18,1,0,0.41,1.59,0.51,0.38,22,11,0.667,2.86,2.26,5.12,0.557,0.517,25.76,152.79,0.53,1.31,108.8,96.5,19.37,70,180,75.5,4,22.80629706,International,0,0,0,0
Trevor-Lacey,1,1,64.09,114.85,98.92,36,2015,35,35,35.9,0.436,2.23,0.392,2.66,0.738,0.77,3.8,3.46,0.89,0.2,1.6,1.91,15.74,1,0,0.362,1.81,0.46,0.29,21,14,0.6,3.7,1.31,5.02,0.556,0.525,23.52,156.58,1.1,1.26,115.9,103.9,19.37,75,215,78,3,23.63312799,International,0,0,0,0
Carl-English,1,2,65.83,102.86,98.53,342,2003,31,31,35.9,0.428,2.87,0.392,3.94,0.731,1.03,4.32,2.35,0.71,0.1,2.52,2.65,19.58,2,0,0.348,0.89,0.27,0.36,19,12,0.613,3.03,1.47,4.5,0.56,0.524,28.78,155.03,3.07,1.31,109.8,101.2,18.89,76,205,77.25,4,22.32443532,International,0,0,0,0
Deville-Smith,1,2,61.98,109.16,107.32,234,2015,34,33,35.9,0.415,1.79,0.321,2,0.66,0.53,3.97,4.5,1.74,0.56,2.03,3,13.79,1,1,0.378,1.5,0.58,0.25,21,13,0.618,1.89,1.78,3.68,0.511,0.489,25.2,139.59,0,1.14,101.8,99.6,17.2,72,175,76,3,23.70431211,International,0,0,0,0
Mo-Williams,1,1,65.31,110.34,95.73,253,2003,29,29,35.8,0.409,2,0.328,3.38,0.838,1,2.9,3.86,1.24,0.17,2.1,2.97,16.38,0,0,0.391,1.3,0.42,0.3,17,12,0.586,2.62,1.39,4.01,0.532,0.483,25.84,157.45,1.13,1.21,109.1,101,18.01,73,198,77.5,2,20.44900753,NBA,6.52,1.5,8.02,33.18
Jimmer-Fredette,1,2,70.22,117.47,94.25,208,2011,37,37,35.8,0.452,3.35,0.396,6.81,0.894,0.65,2.81,4.32,1.32,0.03,1.32,3.54,28.86,0,0,0.497,1.22,0.37,0.37,32,5,0.865,6.75,2.21,8.97,0.594,0.533,37.75,174.21,1.76,1.4,118.1,98.7,29.28,74,195,77,4,22.26146475,NBA,1.73,0.34,1.89,30.32
